,BUS CCSDS_TAI_SEC,PL UNIX TIME,PL UTC TIME,APID_VALID,CRC_VALID,FPGA_COUNTER,0,1,2,3,4,32,33,34,35,36,37,38,47,48,53,54,57,60,61,62,63,96,97,200,201,202,203,204,205,300,301,302,303,602,603,604,605,606,607,608,609,610,611,DAC_1_A,DAC_1_B,DAC_1_C,DAC_1_D,DAC_2_A,DAC_2_B,DAC_2_C,DAC_2_D
32,717005037,717004997,2022-09-20 16:03:19 UTC,1,1,32,7,5,113,14,33,0,85,85,0,85,0,0,0,2,187,9,248,2,255,255,97,5,119,13.952710151672363,14.438937187194824,15.096904754638672,14.02558135986328,13.855582237243652,14.244328498840332,0.1203514859080314,0.0446336641907691,0.2191831618547439,0.2120099067687988,0,2,0,11.899999618530272,-3.5,-100.0,0,8,31,13.0,0,0,0,0,0,0,0,0
33,717005042,717005002,2022-09-20 16:03:24 UTC,1,1,33,7,5,116,14,33,0,85,85,0,85,0,0,0,2,168,9,248,2,255,255,97,5,122,14.147083282470703,14.317288398742676,15.048105239868164,14.049877166748049,13.904141426086426,14.147083282470703,0.1068019792437553,0.0382574275135993,0.1801287084817886,0.267801970243454,0,2,0,11.899999618530272,-2.5,-100.0,0,8,0,13.0,0,0,0,0,0,0,0,0
34,717005046,717005007,2022-09-20 16:03:29 UTC,1,1,34,7,5,120,14,33,0,85,85,0,85,0,0,0,2,61,9,248,2,255,255,97,5,127,13.928423881530762,14.487614631652832,15.072504043579102,14.195700645446776,13.879859924316406,14.268646240234377,0.1075990125536918,0.0366633646190166,0.1896930634975433,0.2638168334960937,0,2,0,12.0,-2.0,-100.0,0,8,0,13.0,0,0,0,0,0,0,0,0
35,717005052,717005012,2022-09-20 16:03:34 UTC,1,1,35,7,5,118,14,33,0,85,85,0,85,0,0,0,2,169,9,248,2,255,255,97,5,124,14.098475456237791,14.536300659179688,15.048105239868164,14.098475456237791,14.098475456237791,14.34161376953125,0.1267277300357818,0.0382574275135993,0.200851485133171,0.2972920835018158,0,2,0,12.0,-5.300000190734863,-100.0,0,8,0,13.0,0,0,0,0,0,0,0,0
36,717005057,717005017,2022-09-20 16:03:39 UTC,1,1,36,7,5,151,14,33,0,85,85,0,85,0,0,0,2,179,9,248,2,255,255,97,5,161,14.122777938842772,14.63370418548584,15.048105239868164,14.171390533447266,13.952710151672363,14.29296588897705,0.11636633425951,0.0302871279418468,0.1857079267501831,0.3761980235576629,0,2,0,12.0,4.199999809265137,-100.0,0,8,0,14.0,0,0,0,0,0,0,0,0
37,717005062,717005022,2022-09-20 16:03:44 UTC,1,1,37,7,5,149,14,33,0,85,85,0,85,0,0,0,2,96,9,248,2,255,255,97,5,156,14.122777938842772,14.487614631652832,15.267782211303713,14.147083282470703,13.904141426086426,14.317288398742676,0.1075990125536918,0.0263019800186157,0.1952722817659378,0.2741782069206238,0,2,0,12.100000381469728,4.400000095367432,-100.0,0,8,0,14.0,0,0,0,0,0,0,0,0
38,717005067,717005027,2022-09-20 16:03:49 UTC,1,1,38,7,5,152,14,33,0,85,85,0,85,0,0,0,2,180,9,248,2,255,255,97,5,159,14.171390533447266,14.584997177124023,15.218948364257812,14.147083282470703,13.879859924316406,14.147083282470703,0.1068019792437553,0.0518069304525852,0.2167920768260955,0.2662079334259033,0,2,0,12.100000381469728,4.099999904632568,-100.0,0,8,0,14.0,0,0,0,0,0,0,0,0
39,717005072,717005032,2022-09-20 16:03:54 UTC,1,1,39,7,5,155,14,33,0,85,85,0,85,0,0,0,2,138,9,248,2,255,255,97,5,162,14.098475456237791,14.609349250793455,15.194534301757812,14.244328498840332,13.976998329162598,14.390270233154297,0.1354950517416,0.0294900983572006,0.1984604001045227,0.2773663401603699,0,2,0,12.199999809265137,3.200000047683716,-100.0,0,8,0,14.0,0,0,0,0,0,0,0,0
40,717005077,717005037,2022-09-20 16:03:59 UTC,1,1,40,7,5,148,14,33,0,85,85,0,85,0,0,0,2,200,9,248,2,255,255,97,5,155,14.244328498840332,14.828627586364746,15.243364334106444,14.463274955749512,14.02558135986328,14.438937187194824,0.0972376242280006,0.0534009896218776,0.1530297100543975,0.2271534651517868,0,2,0,12.300000190734863,4.400000095367432,-100.0,0,8,0,14.0,0,0,0,0,0,0,0,0
41,717005082,717005042,2022-09-20 16:04:04 UTC,1,1,41,7,5,148,14,33,15,15,15,15,15,15,15,0,2,185,9,248,2,255,255,97,0,19,14.195700645446776,14.706781387329102,15.292203903198242,14.268646240234377,13.952710151672363,14.34161376953125,0.0773118808865547,0.0366633646190166,0.001594059402123,0.0294900983572006,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
42,717005087,717005048,2022-09-20 16:04:10 UTC,1,1,42,7,5,148,14,33,15,85,85,15,85,15,15,0,2,7,9,248,2,255,255,97,5,69,14.147083282470703,14.414603233337402,15.048105239868164,14.02558135986328,13.879859924316406,14.29296588897705,0.1259306967258453,0.0143465343862771,1.4832723140716553,0.1482475250959396,0,1,1,12.399999618530272,-100.0,23.0,136,270,2142,15.0,0,0,0,0,0,0,0,0
43,717005092,717005052,2022-09-20 16:04:14 UTC,1,1,43,7,5,148,14,33,15,15,15,85,15,15,15,0,2,117,9,248,2,255,255,97,0,15,14.244328498840332,14.755512237548828,15.389911651611328,14.365941047668455,14.049877166748049,14.365941047668455,0.0701386108994484,0.0318811871111393,0.0023910892195999,0.0454306937754154,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
44,717005097,717005057,2022-09-20 16:04:19 UTC,1,1,44,7,5,148,14,33,85,15,15,85,15,15,15,0,2,180,9,248,2,255,255,97,0,8,14.414603233337402,14.779881477355955,15.389911651611328,14.438937187194824,14.122777938842772,14.487614631652832,0.0637623742222786,0.0438366346061229,0.0023910892195999,0.0446336641907691,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
45,717005102,717005062,2022-09-20 16:04:24 UTC,1,1,45,7,5,148,14,33,85,85,15,85,15,15,15,0,2,21,9,248,2,255,255,97,0,6,14.365941047668455,14.853004455566406,15.438780784606934,14.56064796447754,14.195700645446776,14.34161376953125,0.0589801967144012,0.031084157526493,0.001594059402123,0.1729554384946823,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
46,717005107,717005067,2022-09-20 16:04:29 UTC,1,1,46,7,5,148,14,33,85,85,15,85,15,15,15,0,2,124,9,248,2,255,255,97,0,5,14.438937187194824,14.8773832321167,15.512103080749512,14.414603233337402,14.122777938842772,14.511956214904783,0.0494158416986465,0.0741237625479698,0.001594059402123,0.1474504917860031,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
47,717005112,717005072,2022-09-20 16:04:34 UTC,1,1,47,7,5,148,14,33,85,85,15,85,15,15,15,0,2,16,9,248,2,255,255,97,0,4,14.317288398742676,14.99931526184082,15.585447311401367,14.487614631652832,14.171390533447266,14.511956214904783,0.0486188121140003,0.0342722758650779,0.0023910892195999,0.1394802033901214,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
48,717005117,717005077,2022-09-20 16:04:39 UTC,1,1,48,7,5,148,14,33,85,85,15,85,15,15,15,0,2,21,9,248,2,255,255,97,0,4,14.463274955749512,14.853004455566406,15.267782211303713,14.463274955749512,14.244328498840332,14.487614631652832,0.0510099008679389,0.0342722758650779,0.0023910892195999,0.1825198084115982,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
49,717005122,717005082,2022-09-20 16:04:44 UTC,1,1,49,7,5,148,14,33,85,85,15,85,15,15,15,0,2,93,9,248,2,255,255,97,0,4,14.390270233154297,14.853004455566406,15.512103080749512,14.609349250793455,14.195700645446776,14.56064796447754,0.0661534667015075,0.0398514866828918,0.0023910892195999,0.1434653401374817,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
50,717005127,717005087,2022-09-20 16:04:49 UTC,1,1,50,7,5,148,14,33,85,85,15,85,15,15,15,0,2,192,9,248,2,255,255,97,0,3,14.34161376953125,14.974924087524414,15.560997009277344,14.56064796447754,14.220013618469238,14.511956214904783,0.0765148550271987,0.0518069304525852,0.0023910892195999,0.2223712801933288,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
51,717005132,717005092,2022-09-20 16:04:54 UTC,1,1,51,7,5,148,14,33,85,85,15,85,15,15,15,0,2,87,9,248,2,255,255,97,0,3,14.511956214904783,15.072504043579102,15.536548614501951,14.536300659179688,14.317288398742676,14.56064796447754,0.0637623742222786,0.0836881175637245,0.0023910892195999,0.1729554384946823,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
52,717005137,717005097,2022-09-20 16:04:59 UTC,1,1,52,7,5,148,14,33,85,85,15,85,15,15,15,0,2,116,9,248,2,255,255,97,0,3,14.511956214904783,14.926148414611816,15.414345741271973,14.682419776916504,14.268646240234377,14.63370418548584,0.0932524725794792,0.0549950487911701,0.0023910892195999,0.1107871308922767,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
53,717005142,717005102,2022-09-20 16:05:04 UTC,1,1,53,7,5,148,14,33,85,85,15,85,15,15,15,0,2,102,9,248,2,255,255,97,0,3,14.56064796447754,14.99931526184082,15.536548614501951,14.63370418548584,14.268646240234377,14.487614631652832,0.0518069304525852,0.0613712854683399,0.0023910892195999,0.1705643534660339,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
54,717005147,717005107,2022-09-20 16:05:09 UTC,1,1,54,7,5,148,14,33,85,85,15,85,15,15,15,0,2,115,9,248,2,255,255,97,0,3,14.438937187194824,15.072504043579102,15.707737922668455,14.658061027526855,14.34161376953125,14.731145858764648,0.0789059400558471,0.0669504925608635,0.0023910892195999,0.1649851500988006,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
55,717005152,717005112,2022-09-20 16:05:14 UTC,1,1,55,7,5,148,14,33,85,85,15,85,15,15,15,0,2,68,9,248,2,255,255,97,0,2,14.609349250793455,15.072504043579102,15.658814430236816,14.56064796447754,14.317288398742676,14.658061027526855,0.058183167129755,0.0629653483629226,0.001594059402123,0.200851485133171,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
56,717005157,717005117,2022-09-20 16:05:19 UTC,1,1,56,7,5,148,14,33,85,85,15,85,15,15,15,0,2,83,9,248,2,255,255,97,0,2,14.584997177124023,15.096904754638672,15.512103080749512,14.706781387329102,14.438937187194824,14.56064796447754,0.0916584134101867,0.0557920783758163,0.0023910892195999,0.1809257417917251,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
57,717005162,717005122,2022-09-20 16:05:24 UTC,1,1,57,7,5,148,14,33,85,85,15,85,15,15,15,0,2,206,9,248,2,255,255,97,0,2,14.609349250793455,15.292203903198242,15.707737922668455,14.609349250793455,14.390270233154297,14.706781387329102,0.0669504925608635,0.0717326700687408,0.001594059402123,0.1386831700801849,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
58,717005167,717005127,2022-09-20 16:05:29 UTC,1,1,58,7,5,148,14,33,85,85,15,85,15,15,15,0,2,153,9,248,2,255,255,97,0,2,14.56064796447754,15.14571475982666,15.879048347473145,14.584997177124023,14.414603233337402,14.682419776916504,0.0637623742222786,0.0765148550271987,0.0023910892195999,0.2829455435276031,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
59,717005172,717005132,2022-09-20 16:05:34 UTC,1,1,59,7,5,148,14,33,85,85,15,85,15,15,15,0,2,201,9,248,2,255,255,97,0,2,14.63370418548584,15.243364334106444,15.756671905517578,14.706781387329102,14.390270233154297,14.731145858764648,0.0741237625479698,0.0725297033786773,0.001594059402123,0.1291188150644302,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
60,717005177,717005137,2022-09-20 16:05:39 UTC,1,1,60,7,5,148,14,33,85,85,15,85,15,15,15,0,2,90,9,248,2,255,255,97,0,2,14.658061027526855,15.14571475982666,15.854568481445312,14.63370418548584,14.511956214904783,14.682419776916504,0.084485150873661,0.0438366346061229,0.0023910892195999,0.2454851418733596,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
61,717005182,717005142,2022-09-20 16:05:44 UTC,1,1,61,7,5,148,14,33,85,85,15,85,15,15,15,0,2,22,9,248,2,255,255,97,0,2,14.8773832321167,15.292203903198242,15.756671905517578,14.828627586364746,14.463274955749512,14.755512237548828,0.0645594075322151,0.0637623742222786,0.0023910892195999,0.2144009917974472,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
62,717005187,717005147,2022-09-20 16:05:49 UTC,1,1,62,7,5,148,14,33,85,85,15,85,15,15,15,0,2,187,9,248,2,255,255,97,0,2,14.609349250793455,15.194534301757812,15.756671905517578,14.682419776916504,14.755512237548828,14.658061027526855,0.0812970325350761,0.0573861375451087,0.001594059402123,0.1315099000930786,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
