,BUS CCSDS_TAI_SEC,PL UNIX TIME,PL UTC TIME,APID_VALID,CRC_VALID,FPGA_COUNTER,0,1,2,3,4,32,33,34,35,36,37,38,47,48,53,54,57,60,61,62,63,96,97,200,201,202,203,204,205,300,301,302,303,602,603,604,605,606,607,608,609,610,611,DAC_1_A,DAC_1_B,DAC_1_C,DAC_1_D,DAC_2_A,DAC_2_B,DAC_2_C,DAC_2_D
32,731762002,731761962,2023-03-10 11:12:44 UTC,1,1,32,7,5,149,14,33,15,15,15,85,15,15,15,0,2,54,9,248,2,255,255,97,0,15,15.121308326721191,15.536548614501951,16.197519302368164,14.974924087524414,15.218948364257812,14.706781387329102,0.0892673283815383,0.0318811871111393,0.001594059402123,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
33,731762007,731761967,2023-03-10 11:12:49 UTC,1,1,33,7,5,149,14,33,85,15,15,85,15,15,15,0,2,53,9,248,2,255,255,97,0,9,15.121308326721191,15.48766040802002,16.001487731933594,15.096904754638672,15.292203903198242,14.779881477355955,0.0765148550271987,0.0621683150529861,0.0023910892195999,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
34,731762012,731761972,2023-03-10 11:12:54 UTC,1,1,34,7,5,149,14,33,85,85,15,85,15,15,15,0,2,19,9,248,2,255,255,97,0,7,15.170123100280762,15.585447311401367,15.903531074523926,15.096904754638672,15.14571475982666,14.8773832321167,0.0797029733657836,0.0486188121140003,0.0047821784391999,0.0717326700687408,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
35,731762017,731761977,2023-03-10 11:12:59 UTC,1,1,35,7,5,149,14,33,85,85,15,85,15,15,15,0,2,192,9,248,2,255,255,97,0,6,15.096904754638672,15.46321964263916,16.246551513671875,15.121308326721191,15.14571475982666,14.99931526184082,0.0685445517301559,0.0964405909180641,0.0031881188042461,0.1594059467315673,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
36,731762022,731761982,2023-03-10 11:13:04 UTC,1,1,36,7,5,149,14,33,85,85,15,85,15,15,15,0,2,151,9,248,2,255,255,97,0,5,15.14571475982666,15.536548614501951,16.12398910522461,15.218948364257812,15.194534301757812,14.90176486968994,0.098831683397293,0.098831683397293,0.001594059402123,0.1243366301059722,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
37,731762027,731761987,2023-03-10 11:13:09 UTC,1,1,37,7,5,149,14,33,85,85,15,85,15,15,15,0,2,194,9,248,2,255,255,97,0,4,15.243364334106444,15.60990047454834,16.173006057739258,15.096904754638672,15.218948364257812,14.731145858764648,0.0534009896218776,0.058183167129755,0.0031881188042461,0.0470247529447078,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
38,731762032,731761992,2023-03-10 11:13:14 UTC,1,1,38,7,5,149,14,33,85,85,15,85,15,15,15,0,2,135,9,248,2,255,255,97,0,4,15.14571475982666,15.414345741271973,16.148496627807617,15.14571475982666,15.243364334106444,14.828627586364746,0.0701386108994484,0.0470247529447078,0.0023910892195999,0.058183167129755,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
39,731762037,731761997,2023-03-10 11:13:19 UTC,1,1,39,7,5,149,14,33,85,85,15,85,15,15,15,0,2,136,9,248,2,255,255,97,0,4,15.170123100280762,15.732203483581545,16.344646453857422,15.096904754638672,15.267782211303713,14.95053482055664,0.0900643542408943,0.0876732692122459,0.0079702967777848,0.098831683397293,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
40,731762042,731762002,2023-03-10 11:13:24 UTC,1,1,40,7,5,149,14,33,85,85,15,85,15,15,15,0,2,162,9,248,2,255,255,97,0,3,15.218948364257812,15.634356498718262,16.197519302368164,15.194534301757812,15.243364334106444,14.926148414611816,0.0804999992251396,0.0637623742222786,0.0023910892195999,0.0812970325350761,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
41,731762047,731762007,2023-03-10 11:13:29 UTC,1,1,41,7,5,149,14,33,85,85,15,85,15,15,15,0,2,255,9,248,2,255,255,97,0,3,15.31662654876709,15.707737922668455,16.271072387695312,15.243364334106444,15.31662654876709,14.8773832321167,0.1123811900615692,0.0717326700687408,0.0023910892195999,0.1139752492308616,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
42,731762052,731762012,2023-03-10 11:13:34 UTC,1,1,42,7,5,149,14,33,85,85,15,85,15,15,15,0,2,181,9,248,2,255,255,97,0,3,15.31662654876709,15.634356498718262,16.12398910522461,15.218948364257812,15.36548137664795,14.974924087524414,0.1235396042466163,0.0693415850400924,0.0023910892195999,0.1602029651403427,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
43,731762057,731762017,2023-03-10 11:13:39 UTC,1,1,43,7,5,149,14,33,85,85,15,85,15,15,15,0,2,159,9,248,2,255,255,97,0,3,15.267782211303713,15.732203483581545,16.222034454345703,15.218948364257812,15.36548137664795,14.853004455566406,0.1020198017358779,0.0860792100429534,0.0023910892195999,0.1402772217988968,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
44,731762062,731762022,2023-03-10 11:13:44 UTC,1,1,44,7,5,111,14,33,15,85,85,85,85,15,15,0,2,127,9,248,2,255,255,97,5,116,15.292203903198242,15.976994514465332,16.271072387695312,15.121308326721191,15.414345741271973,14.99931526184082,0.1315099000930786,0.0454306937754154,0.2279504984617233,0.3148267269134521,0,2,0,13.399999618530272,-9.899999618530272,-100.0,0,8,0,16.0,0,0,0,0,0,0,0,0
45,731762067,731762027,2023-03-10 11:13:49 UTC,1,1,45,7,5,114,14,33,15,85,85,85,85,15,15,0,2,194,9,248,2,255,255,97,5,121,15.194534301757812,15.707737922668455,16.320119857788086,15.218948364257812,15.60990047454834,14.853004455566406,0.1617970317602157,0.0685445517301559,0.2510643601417541,0.3028712868690491,0,2,0,13.399999618530272,-3.299999952316284,-100.0,0,8,0,16.0,0,0,0,0,0,0,0,0
46,731762072,731762033,2023-03-10 11:13:55 UTC,1,1,46,7,5,117,14,33,15,85,85,85,85,15,15,0,2,134,9,248,2,255,255,97,5,124,15.60990047454834,15.805614471435549,16.344646453857422,15.292203903198242,15.292203903198242,14.926148414611816,0.1490445584058761,0.058183167129755,0.1857079267501831,0.3419257402420044,0,2,0,13.399999618530272,-2.400000095367432,-100.0,0,8,31,16.0,0,0,0,0,0,0,0,0
